week.treat,week,treat,pop,cage,count.1,count.2,count.3,mass.1,mass.2,mass.3,mass.t,unit.1,unit.2,unit.3,census,unit.mean,unit.sd
8,19,C,B,B2,19,37,26,3.1,2.84,2.3,441.27,0.1632,0.0768,0.0885,4031,0.1095,0.0469
8,19,C,C,C2,16,19,18,0.97,1.75,1.5,101.96,0.0606,0.0921,0.0833,1296,0.0787,0.0162
8,19,C,D,D2,26,30,16,4.73,4.15,3.07,201.37,0.1819,0.1383,0.1919,1180,0.1707,0.0285
9,20,S,A,A1,24,24,14,3.76,2.74,2.09,719.05,0.1567,0.1142,0.1493,5135,0.1400,0.0227
9,20,S,B,B1,28,46,36,3.07,5.69,4.19,1058.58,0.1096,0.1237,0.1164,9081,0.1166,0.0070
9,20,S,C,C1,29,21,24,3.99,2.54,2.63,619.38,0.1376,0.1210,0.1096,5048,0.1227,0.0141
9,20,S,D,D1,17,30,24,1.63,4.1,2.86,293.57,0.0959,0.1367,0.1192,2504,0.1172,0.0205
9,20,C,A,A2,22,19,26,2.35,2.31,2.64,317.01,0.1068,0.1216,0.1015,2882,0.1100,0.0104
9,20,C,B,B2,21,29,20,2.48,3.54,2.6,261.02,0.1181,0.1221,0.1300,2115,0.1234,0.0061
9,20,C,C,C2,23,23,17,3.81,3.5,2.73,143.47,0.1657,0.1522,0.1606,900,0.1595,0.0068
9,20,C,D,D2,36,25,24,4.04,2.94,3.38,328.38,0.1122,0.1176,0.1408,2658,0.1236,0.0152
10,21,S,A,A1,25,20,25,3.06,2.43,2.81,216.74,0.1224,0.1215,0.1124,1825,0.1188,0.0055
10,21,S,B,B1,29,29,27,4,3.95,3.43,395.49,0.1379,0.1362,0.1270,2957,0.1337,0.0059
10,21,S,C,C1,21,23,21,2.54,2.8,2.85,347.31,0.1210,0.1217,0.1357,2753,0.1261,0.0083
10,21,S,D,D1,37,34,27,5.89,5.28,3.77,352.96,0.1592,0.1553,0.1396,2332,0.1514,0.0104
10,21,C,A,A2,20,25,21,2.5,2.81,2.76,269,0.1250,0.1124,0.1314,2188,0.1229,0.0097
10,21,C,B,B2,26,29,23,3.19,3.27,2.97,344.05,0.1227,0.1128,0.1291,2831,0.1215,0.0082
10,21,C,C,C2,19,20,22,2.38,2.45,3,101.77,0.1253,0.1225,0.1364,795,0.1280,0.0073
10,21,C,D,D2,23,19,21,2.83,2.24,2.75,182.52,0.1230,0.1179,0.1310,1472,0.1240,0.0066
0,22,S,A,A1,17,20,29,2.16,2.4,3.84,706.88,0.1271,0.1200,0.1324,5588,0.1265,0.0062
0,22,S,B,B1,37,21,28,3.68,2.63,2.92,318.52,0.0995,0.1252,0.1043,2905,0.1097,0.0137
0,22,S,C,C1,24,21,25,3.05,2.61,3.17,777.16,0.1271,0.1243,0.1268,6165,0.1261,0.0015
0,22,S,D,D1,20,17,30,2.78,2.25,3.93,259.94,0.1390,0.1324,0.1310,1938,0.1341,0.0043
0,22,C,A,A2,22,30,27,2.99,3.96,3.25,191.82,0.1359,0.1320,0.1204,1482,0.1294,0.0081
0,22,C,B,B2,15,14,20,3.3,2.56,3.79,122.71,0.2200,0.1829,0.1895,621,0.1975,0.0198
0,22,C,C,C2,31,18,23,3.17,2.46,2.84,395.95,0.1023,0.1367,0.1235,3278,0.1208,0.0174
0,22,C,D,D2,15,15,17,1.79,1.57,1.9,184.3,0.1193,0.1047,0.1118,1647,0.1119,0.0073
